Interval=	0.00025 s		
ExcelDateTime=	4.2864586892317864e+004	5/9/2017 14:05:07.496264		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
72.43675	0.010	1.033	-1.518	-0.219	0.000	0.243	-0.003
72.437	0.020	1.025	-1.786	-0.293	0.000	0.243	-0.003
72.43725	0.030	1.024	-1.903	-0.371	0.000	0.243	-0.002
72.4375	0.038	1.040	-1.782	-0.441	0.001	0.243	-0.002
72.43775	0.043	1.070	-1.394	-0.491	0.000	0.243	-0.003
72.438	0.048	1.098	-0.803	-0.516	0.000	0.243	-0.003
72.43825	0.055	1.103	-0.155	-0.518	0.000	0.243	-0.003
72.4385	0.067	1.069	0.380	-0.507	0.000	0.243	-0.002
72.43875	0.085	0.997	0.690	-0.489	0.000	0.243	-0.002
72.439	0.106	0.906	0.772	-0.466	0.000	0.243	-0.003
72.43925	0.129	0.822	0.739	-0.429	0.000	0.243	-0.003
72.4395	0.150	0.763	0.753	-0.362	-0.000	0.243	-0.003
72.43975	0.166	0.729	0.936	-0.257	0.001	0.243	-0.002
72.44	0.180	0.704	1.289	-0.118	0.000	0.243	-0.002
72.44025	0.191	0.657	1.664	0.036	0.000	0.243	-0.003
72.4405	0.201	0.566	1.825	0.175	-0.000	0.243	-0.003
72.44075	0.211	0.429	1.549	0.276	0.000	0.243	-0.002
72.441	0.219	0.266	0.746	0.331	0.000	0.243	-0.002
72.44125	0.222	0.109	-0.473	0.353	0.000	0.243	-0.002
72.4415	0.221	-0.013	-1.813	0.368	0.000	0.244	-0.003
72.44175	0.214	-0.091	-2.887	0.399	0.001	0.243	-0.002
72.442	0.206	-0.136	-3.360	0.448	0.001	0.243	-0.003
72.44225	0.200	-0.172	-3.071	0.496	0.000	0.243	-0.002
72.4425	0.199	-0.211	-2.093	0.507	0.000	0.243	-0.003
72.44275	0.201	-0.246	-0.700	0.452	0.001	0.243	-0.002
72.443	0.202	-0.248	0.734	0.332	4.992	0.244	-1.316
72.44325	0.195	-0.190	1.868	0.175	4.957	0.243	-1.317
72.4435	0.176	-0.066	2.505	0.032	4.957	0.243	1.308
72.44375	0.147	0.090	2.627	-0.058	4.957	0.244	1.311
72.444	0.116	0.209	2.376	-0.088	-0.035	0.243	-0.001
72.44425	0.093	0.222	1.968	-0.094	0.001	0.243	-0.000
72.4445	0.088	0.101	1.609	-0.137	0.001	0.243	-0.001
72.44475	0.100	-0.114	1.425	-0.260	0.001	0.243	-0.002
72.445	0.121	-0.320	1.435	-0.447	0.000	0.243	-0.002
72.44525	0.137	-0.394	1.570	-0.610	0.001	0.243	-0.002
72.4455	0.136	-0.269	1.710	-0.606	0.001	0.243	-0.003
72.44575	0.114	0.012	1.730	-0.300	0.001	0.243	-0.003
72.446	0.083	0.278	1.524	0.366	0.000	0.243	-0.002
72.44625	0.067	0.277	1.032	1.319	0.000	0.243	-0.002
72.4465	0.092	-0.227	0.247	2.355	0.000	0.243	-0.002
72.44675	0.173	-1.340	-0.778	3.191	0.000	0.243	-0.003
72.447	0.306	-2.964	-1.924	3.562	0.000	0.243	-0.002
72.44725	0.464	-4.798	-3.013	3.317	0.000	0.242	-0.002
72.4475	0.605	-6.419	-3.838	2.480	0.000	0.244	-0.002
72.44775	0.685	-7.419	-4.202	1.241	0.000	0.244	-0.003
72.448	0.672	-7.545	-3.974	-0.107	0.000	0.244	-0.002
72.44825	0.560	-6.783	-3.138	-1.268	0.000	0.244	-0.003
72.4485	0.366	-5.353	-1.806	-2.040	0.000	0.243	-0.003
72.44875	0.127	-3.623	-0.203	-2.365	-0.000	0.243	-0.002
72.449	-0.115	-1.977	1.396	-2.316	0.000	0.243	-0.002
72.44925	-0.328	-0.688	2.729	-2.045	-0.000	0.243	-0.002
72.4495	-0.494	0.145	3.618	-1.708	0.000	0.244	-0.003
72.44975	-0.608	0.589	4.000	-1.407	0.000	0.243	-0.003
72.45	-0.678	0.808	3.919	-1.166	0.000	0.244	-0.002
72.45025	-0.714	0.974	3.496	-0.956	0.001	0.244	-0.002
72.4505	-0.722	1.187	2.873	-0.726	0.000	0.243	-0.002
72.45075	-0.705	1.458	2.180	-0.452	0.001	0.243	-0.002
72.451	-0.664	1.727	1.503	-0.146	0.000	0.243	-0.002
72.45125	-0.602	1.916	0.889	0.146	0.000	0.243	-0.002
72.4515	-0.523	1.975	0.353	0.375	0.000	0.243	-0.002
72.45175	-0.433	1.908	-0.106	0.511	0.000	0.243	-0.003
72.452	-0.338	1.762	-0.494	0.560	0.000	0.243	-0.003
72.45225	-0.240	1.597	-0.821	0.554	0.000	0.243	-0.002
72.4525	-0.139	1.455	-1.093	0.535	0.000	0.243	-0.002
72.45275	-0.035	1.345	-1.317	0.531	0.000	0.243	-0.003
72.453	0.068	1.247	-1.490	0.543	0.000	0.243	-0.003
72.45325	0.158	1.132	-1.605	0.552	0.000	0.243	-0.002
72.4535	0.220	0.985	-1.653	0.531	0.000	0.244	-0.003
72.45375	0.239	0.814	-1.632	0.459	-0.000	0.243	-0.003
72.454	0.207	0.642	-1.563	0.335	0.001	0.243	-0.002
72.45425	0.128	0.497	-1.489	0.177	0.001	0.243	-0.002
72.4545	0.017	0.394	-1.467	0.011	0.001	0.243	-0.003
72.45475	-0.100	0.328	-1.543	-0.140	0.000	0.244	-0.002
72.455	-0.199	0.281	-1.721	-0.263	0.000	0.244	-0.002
72.45525	-0.265	0.237	-1.948	-0.355	0.000	0.243	-0.002
72.4555	-0.293	0.188	-2.122	-0.424	0.000	0.243	-0.002
72.45575	-0.293	0.141	-2.123	-0.474	0.001	0.243	-0.002
72.456	-0.280	0.109	-1.865	-0.507	0.000	0.243	-0.003
