Interval=	0.00025 s
ExcelDateTime=	4.2696564851361203e+004	11/22/2016 13:33:23.157608
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RMG	Stim
Range=	10.000 V	10.000 V
29.369	5.106	0.000
29.36925	5.396	0.000
29.3695	5.510	0.000
29.36975	5.472	0.000
29.37	5.323	0.001
29.37025	5.103	0.001
29.3705	4.842	0.000
29.37075	4.557	0.000
29.371	4.270	0.000
29.37125	3.990	0.001
29.3715	3.711	-0.000
29.37175	3.429	0.001
29.372	3.147	0.000
29.37225	2.877	0.001
29.3725	2.622	0.000
29.37275	2.387	0.000
29.373	2.167	0.000
29.37325	1.946	0.001
29.3735	1.674	0.000
29.37375	1.263	0.001
29.374	0.752	0.000
29.37425	0.268	0.001
29.3745	-0.185	0.000
29.37475	-0.606	0.000
29.375	-0.934	0.001
29.37525	-1.080	0.000
29.3755	-1.015	0.000
29.37575	-0.788	0.000
29.376	-0.450	-0.000
29.37625	-0.036	0.000
29.3765	0.387	0.001
29.37675	0.796	0.000
29.377	1.185	0.001
29.37725	1.531	0.001
29.3775	1.730	0.001
29.37775	1.656	0.001
29.378	1.166	0.001
29.37825	0.195	0.000
29.3785	-0.867	0.000
29.37875	-1.614	0.000
29.379	-2.032	0.000
29.37925	-2.267	0.000
29.3795	-2.386	0.001
29.37975	-2.321	0.000
29.38	-2.045	0.000
29.38025	-1.568	0.000
29.3805	-0.892	0.000
29.38075	-0.012	-0.000
29.381	0.885	0.000
29.38125	1.454	0.000
29.3815	1.528	0.000
29.38175	1.256	0.000
29.382	0.928	0.001
29.38225	0.740	0.000
29.3825	0.811	0.001
29.38275	1.140	0.000
29.383	1.641	0.000
29.38325	2.153	0.001
29.3835	2.485	0.000
29.38375	2.564	0.000
29.384	2.385	-0.000
29.38425	2.027	-0.000
29.3845	1.653	0.000
29.38475	1.393	0.000
29.385	1.390	0.000
29.38525	1.525	0.000
29.3855	1.568	0.000
29.38575	1.376	0.000
29.386	0.935	0.000
29.38625	0.453	0.000
29.3865	0.147	4.955
29.38675	0.326	4.957
29.387	0.292	0.001
29.38725	0.112	0.000
29.3875	-0.079	0.001
29.38775	-0.159	0.001
29.388	-0.038	0.001
29.38825	0.237	0.001
29.3885	0.492	0.000
29.38875	0.627	0.000
29.389	0.719	0.001
29.38925	0.841	0.000
29.3895	0.854	0.000
29.38975	0.543	0.000
29.39	-0.037	0.001
29.39025	-0.746	0.000
29.3905	-1.582	0.000
29.39075	-2.582	0.000
29.391	-3.783	0.000
29.39125	-4.924	0.000
29.3915	-5.721	0.000
29.39175	-5.975	0.001
29.392	-5.463	0.000
29.39225	-4.190	0.001
29.3925	-2.447	0.000
29.39275	-0.594	0.000
29.393	1.138	-0.000
29.39325	2.613	0.000
29.3935	3.751	0.000
29.39375	4.549	0.001
29.394	5.069	0.000
29.39425	5.367	0.001
29.3945	5.489	0.001
29.39475	5.485	0.000
29.395	5.402	0.000
29.39525	5.270	0.000
29.3955	5.102	0.000
29.39575	4.909	-0.000
29.396	4.716	0.001
29.39625	4.527	0.001
29.3965	4.330	0.000
29.39675	4.116	0.000
29.397	3.887	0.000
29.39725	3.648	0.001
29.3975	3.399	0.001
29.39775	3.148	0.001
29.398	2.904	0.000
29.39825	2.676	0.000
29.3985	2.467	0.000
29.39875	2.277	-0.000
29.399	2.069	0.000
29.39925	1.838	0.000
29.3995	1.636	0.000
29.39975	1.260	0.000
29.4	0.484	0.000
29.40025	-0.541	0.000
29.4005	-1.482	0.000
29.40075	-2.052	0.000
29.401	-2.128	0.001
29.40125	-1.840	0.000
29.4015	-1.480	0.000
29.40175	-1.185	0.000
29.402	-0.932	0.000
29.40225	-0.574	0.000
29.4025	-0.118	0.000
29.40275	0.220	0.000
29.403	0.146	0.001
29.40325	-0.569	0.001
29.4035	-1.905	0.000
29.40375	-3.484	0.000
29.404	-4.728	0.001
29.40425	-5.207	-0.000
29.4045	-4.838	0.000
29.40475	-3.822	0.000
29.405	-2.448	0.000
29.40525	-0.904	0.000
29.4055	0.649	0.000
29.40575	2.028	0.001
29.406	3.118	-0.000
29.40625	3.889	0.001
29.4065	4.350	0.000
29.40675	4.522	0.000
29.407	4.488	0.000
29.40725	4.347	0.000
29.4075	4.154	0.000
29.40775	3.942	0.001
29.408	3.735	0.001
29.40825	3.559	0.000
29.4085	3.413	0.000
29.40875	3.249	0.000
29.409	2.918	0.001
29.40925	2.393	0.000
29.4095	1.810	0.000
29.40975	1.258	0.000
29.41	0.864	0.001
29.41025	0.577	0.000
29.4105	0.162	0.000
29.41075	-0.438	0.000
29.411	-1.177	0.000
29.41125	-1.919	0.000
29.4115	-2.412	4.956
29.41175	-2.271	4.958
29.412	-2.077	0.001
29.41225	-1.743	0.001
29.4125	-1.251	0.001
29.41275	-0.805	0.001
29.413	-0.555	0.001
29.41325	-0.437	0.001
29.4135	-0.302	0.000
29.41375	-0.108	0.001
29.414	0.128	0.001
29.41425	0.417	0.000
29.4145	0.815	0.000
29.41475	1.209	0.000
29.415	1.282	0.001
29.41525	0.935	0.000
29.4155	0.176	0.000
29.41575	-1.027	0.000
29.416	-2.537	0.001
29.41625	-4.059	-0.000
29.4165	-5.167	0.000
29.41675	-5.508	0.000
29.417	-4.981	0.000
29.41725	-3.756	-0.000
29.4175	-2.106	0.000
29.41775	-0.320	0.000
29.418	1.338	0.000
29.41825	2.744	0.000
29.4185	3.845	0.000
29.41875	4.647	0.000
29.419	5.197	0.000
29.41925	5.517	0.000
29.4195	5.624	0.000
29.41975	5.570	0.000
29.42	5.405	0.000
29.42025	5.163	-0.000
29.4205	4.882	0.000
29.42075	4.598	0.001
29.421	4.334	-0.000
29.42125	4.088	0.000
29.4215	3.844	0.000
29.42175	3.586	0.000
29.422	3.308	0.000
29.42225	3.023	0.001
29.4225	2.739	0.000
29.42275	2.459	0.000
29.423	2.194	0.000
29.42325	1.952	-0.000
29.4235	1.737	0.001
29.42375	1.553	0.000
29.424	1.391	0.000
29.42425	1.173	0.000
29.4245	0.845	0.000
29.42475	0.444	-0.000
29.425	0.077	-0.000
29.42525	-0.170	0.000
29.4255	-0.446	0.001
29.42575	-0.963	0.000
29.426	-1.741	0.000
29.42625	-2.562	0.001
29.4265	-3.069	0.000
29.42675	-3.104	0.000
29.427	-2.764	0.001
29.42725	-2.302	0.000
29.4275	-1.992	0.000
29.42775	-2.032	0.001
29.428	-2.362	0.001
29.42825	-2.851	0.000
29.4285	-3.252	0.000
29.42875	-3.317	0.000
29.429	-2.961	0.000
29.42925	-2.178	0.000
29.4295	-0.947	0.000
29.42975	0.568	0.001
29.43	2.087	0.000
29.43025	3.401	0.001
29.4305	4.417	0.000
29.43075	5.111	0.000
29.431	5.489	0.000
29.43125	5.567	0.000
29.4315	5.427	0.000
29.43175	5.189	0.001
29.432	4.947	0.000
29.43225	4.803	0.000
29.4325	4.693	0.000
29.43275	4.470	0.000
29.433	4.022	0.000
29.43325	3.377	0.000
29.4335	2.660	0.000
29.43375	1.999	0.000
29.434	1.461	0.000
29.43425	1.041	0.000
29.4345	0.693	0.000
29.43475	0.288	0.000
29.435	-0.338	0.000
29.43525	-1.154	0.001
29.4355	-1.986	0.000
29.43575	-2.656	0.000
29.436	-3.051	0.000
29.43625	-3.104	0.000
29.4365	-2.860	4.956
29.43675	-2.112	4.957
29.437	-1.576	0.001
29.43725	-1.180	0.001
29.4375	-0.890	0.000
29.43775	-0.645	0.000
29.438	-0.294	0.000
29.43825	0.213	0.001
29.4385	0.699	0.001
29.43875	0.965	0.000
29.439	0.951	0.001
29.43925	0.758	-0.000
29.4395	0.563	0.000
29.43975	0.463	0.000
29.44	0.380	0.000
29.44025	0.275	0.000
29.4405	0.290	0.000
29.44075	0.322	0.000
29.441	0.052	0.000
29.44125	-0.646	0.001
29.4415	-1.580	0.001
29.44175	-2.414	0.000
29.442	-2.761	0.000
29.44225	-2.449	0.000
29.4425	-1.626	0.000
29.44275	-0.524	0.000
29.443	0.649	0.001
29.44325	1.726	0.000
29.4435	2.610	0.000
29.44375	3.285	0.000
29.444	3.763	0.000
29.44425	4.072	0.000
29.4445	4.249	0.000
29.44475	4.318	0.001
29.445	4.299	0.000
29.44525	4.223	0.000
29.4455	4.122	-0.000
29.44575	4.007	0.000
29.446	3.894	0.001
29.44625	3.787	0.000
29.4465	3.673	0.001
29.44675	3.542	-0.000
29.447	3.390	0.000
29.44725	3.223	0.000
29.4475	3.047	0.000
29.44775	2.864	0.000
29.448	2.679	0.001
29.44825	2.504	0.001
29.4485	2.350	0.001
29.44875	2.223	0.000
29.449	2.122	0.000
29.44925	2.041	0.000
29.4495	1.957	0.000
29.44975	1.793	0.000
29.45	1.522	-0.000
29.45025	1.121	0.000
29.4505	0.563	0.000
29.45075	-0.111	0.000
29.451	-0.937	0.000
29.45125	-1.940	0.000
29.4515	-2.955	-0.000
29.45175	-3.823	0.000
29.452	-4.328	0.000
29.45225	-4.289	0.000
29.4525	-3.709	0.000
29.45275	-2.764	0.000
29.453	-1.718	0.000
29.45325	-0.749	0.000
