Interval=	0.00025 s
ExcelDateTime=	4.2696564859723469e+004	11/22/2016 13:33:23.880108
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RTA	Stim
Range=	10.000 V	10.000 V
30.05875	0.600	-0.000
30.059	0.626	0.000
30.05925	0.612	-0.000
30.0595	0.523	0.000
30.05975	0.351	-0.000
30.06	0.112	0.000
30.06025	-0.152	0.000
30.0605	-0.383	-0.000
30.06075	-0.531	0.001
30.061	-0.630	-0.000
30.06125	-0.794	0.000
30.0615	-1.099	4.956
30.06175	-1.466	4.957
30.062	-1.716	-0.000
30.06225	-1.758	0.000
30.0625	-1.658	0.000
30.06275	-1.517	0.000
30.063	-1.331	0.000
30.06325	-1.032	0.000
30.0635	-0.601	0.000
30.06375	-0.097	0.000
30.064	0.408	0.000
30.06425	0.858	0.001
30.0645	1.176	0.001
30.06475	1.275	-0.000
30.065	1.120	0.000
30.06525	0.766	0.000
30.0655	0.321	0.000
30.06575	-0.117	0.000
30.066	-0.471	-0.000
30.06625	-0.673	0.000
30.0665	-0.674	0.000
30.06675	-0.491	0.000
30.067	-0.203	0.000
30.06725	0.101	0.001
30.0675	0.382	0.001
30.06775	0.640	-0.000
30.068	0.873	0.000
30.06825	1.048	-0.000
30.0685	1.124	0.000
30.06875	1.111	-0.000
30.069	1.075	0.001
30.06925	1.083	0.000
30.0695	1.134	-0.000
30.06975	1.181	-0.000
30.07	1.183	0.001
30.07025	1.147	0.000
30.0705	1.087	0.000
30.07075	0.994	0.000
30.071	0.861	-0.000
30.07125	0.710	0.000
30.0715	0.580	0.000
30.07175	0.497	0.000
30.072	0.455	-0.000
30.07225	0.416	-0.000
30.0725	0.311	0.000
30.07275	0.093	0.001
30.073	-0.190	0.000
30.07325	-0.418	-0.000
30.0735	-0.545	0.000
30.07375	-0.681	0.001
30.074	-0.966	0.000
30.07425	-1.385	0.000
30.0745	-1.764	0.000
30.07475	-1.945	0.000
30.075	-1.912	0.000
30.07525	-1.741	0.000
30.0755	-1.495	0.000
30.07575	-1.186	0.000
30.076	-0.813	0.000
