Interval=	0.00025 s
ExcelDateTime=	4.2696562165282427e+004	11/22/2016 13:29:31.080401
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RTA	Stim
Range=	10.000 V	10.000 V
21.99825	-0.119	0.001
21.9985	-0.176	0.000
21.99875	-0.227	0.000
21.999	-0.270	0.000
21.99925	-0.308	0.001
21.9995	-0.343	0.000
21.99975	-0.373	0.001
22	-0.391	-0.000
22.00025	-0.396	0.000
22.0005	-0.397	0.000
22.00075	-0.396	0.000
22.001	-0.390	0.001
22.00125	-0.383	0.001
22.0015	-0.373	0.001
22.00175	-0.358	0.001
22.002	-0.339	0.000
22.00225	-0.316	0.001
22.0025	-0.292	0.001
22.00275	-0.272	0.000
22.003	-0.252	0.001
22.00325	-0.233	0.001
22.0035	-0.214	0.000
22.00375	-0.196	0.001
22.004	-0.181	0.001
22.00425	-0.172	0.000
22.0045	-0.166	0.001
22.00475	-0.163	0.000
22.005	-0.163	0.001
22.00525	-0.154	0.000
22.0055	-0.131	0.000
22.00575	-0.094	0.000
22.006	-0.055	0.000
22.00625	-0.020	0.000
22.0065	0.007	-0.000
22.00675	0.026	0.000
22.007	0.038	0.000
22.00725	0.049	0.001
22.0075	0.060	0.000
22.00775	0.079	0.000
22.008	0.107	0.000
22.00825	0.143	-0.000
22.0085	0.179	0.001
22.00875	0.211	0.000
22.009	0.228	0.000
22.00925	0.229	0.000
22.0095	0.212	0.001
22.00975	0.179	0.000
22.01	0.141	0.001
22.01025	0.111	0.000
22.0105	0.095	0.000
22.01075	0.093	0.000
22.011	0.096	-0.000
22.01125	0.099	0.000
22.0115	0.096	0.001
22.01175	0.090	0.001
22.012	0.081	0.000
22.01225	0.071	0.001
22.0125	0.060	0.000
22.01275	0.043	0.000
22.013	0.004	0.000
22.01325	-0.072	0.000
22.0135	-0.174	0.000
22.01375	-0.276	0.001
22.014	-0.360	0.000
22.01425	-0.410	0.000
22.0145	-0.426	0.000
22.01475	-0.418	0.000
22.015	-0.392	0.000
22.01525	-0.352	0.001
22.0155	-0.322	0.000
22.01575	-0.324	0.000
22.016	-0.371	0.000
22.01625	-0.451	0.000
22.0165	-0.533	0.001
22.01675	-0.591	0.000
22.017	-0.619	0.001
22.01725	-0.618	0.001
22.0175	-0.573	0.001
22.01775	-0.481	0.000
22.018	-0.369	0.000
22.01825	-0.259	-0.000
22.0185	-0.164	0.000
22.01875	-0.085	0.000
22.019	-0.031	0.001
22.01925	0.003	0.000
22.0195	0.019	0.000
22.01975	0.019	0.000
22.02	0.012	0.000
22.02025	0.000	0.000
22.0205	-0.015	0.001
22.02075	-0.033	0.001
22.021	-0.051	0.000
22.02125	-0.067	0.001
22.0215	-0.084	0.000
22.02175	-0.098	0.000
22.022	-0.108	0.001
22.02225	-0.115	0.000
22.0225	-0.121	0.001
22.02275	-0.125	0.001
22.023	-0.127	-0.000
22.02325	-0.127	0.000
22.0235	-0.125	0.000
22.02375	-0.121	0.000
22.024	-0.117	1.473
22.02425	-0.298	4.957
22.0245	-0.516	0.001
22.02475	-0.463	0.001
22.025	-0.362	0.001
22.02525	-0.252	0.000
22.0255	-0.154	0.001
22.02575	-0.069	0.000
22.026	0.003	0.001
22.02625	0.064	0.000
22.0265	0.113	0.001
22.02675	0.153	0.000
22.027	0.177	0.000
22.02725	0.189	0.000
22.0275	0.191	0.001
22.02775	0.151	0.000
22.028	-0.071	0.000
22.02825	-0.591	0.001
22.0285	-1.274	0.000
22.02875	-1.910	0.000
22.029	-2.387	0.000
22.02925	-2.688	-0.000
22.0295	-2.847	0.000
22.02975	-2.860	0.000
22.03	-2.710	0.000
22.03025	-2.406	0.000
22.0305	-1.988	0.001
22.03075	-1.547	0.001
22.031	-1.136	-0.000
22.03125	-0.773	0.001
22.0315	-0.464	0.000
22.03175	-0.203	0.000
22.032	0.005	0.000
22.03225	0.143	0.001
22.0325	0.217	0.000
22.03275	0.239	0.001
22.033	0.219	0.000
22.03325	0.169	0.001
22.0335	0.098	0.001
22.03375	0.010	0.000
22.034	-0.089	0.000
22.03425	-0.188	0.000
22.0345	-0.286	0.001
22.03475	-0.378	0.000
22.035	-0.459	0.000
22.03525	-0.527	0.000
22.0355	-0.581	-0.000
22.03575	-0.621	0.001
22.036	-0.646	0.001
22.03625	-0.658	0.000
22.0365	-0.660	0.000
22.03675	-0.656	0.000
22.037	-0.649	0.000
22.03725	-0.642	0.001
22.0375	-0.635	0.000
22.03775	-0.628	0.000
22.038	-0.629	0.001
22.03825	-0.658	0.000
22.0385	-0.718	0.001
22.03875	-0.822	0.000
22.039	-0.990	0.000
22.03925	-1.175	0.001
22.0395	-1.318	0.001
22.03975	-1.389	0.000
22.04	-1.384	0.000
22.04025	-1.308	0.000
22.0405	-1.180	0.001
22.04075	-1.017	0.001
22.041	-0.829	0.000
22.04125	-0.631	0.000
22.0415	-0.439	0.000
22.04175	-0.266	0.001
22.042	-0.121	0.000
22.04225	-0.007	0.000
22.0425	0.080	0.001
22.04275	0.146	0.001
22.043	0.198	0.000
22.04325	0.238	0.000
22.0435	0.270	0.001
22.04375	0.289	0.000
22.044	0.303	0.000
22.04425	0.312	0.001
22.0445	0.314	0.000
22.04475	0.315	0.000
22.045	0.313	0.000
22.04525	0.312	0.000
22.0455	0.309	0.001
22.04575	0.306	0.000
22.046	0.300	0.000
22.04625	0.285	0.000
22.0465	0.261	0.000
22.04675	0.226	0.001
22.047	0.186	0.001
22.04725	0.147	0.000
22.0475	0.112	-0.000
22.04775	0.082	0.000
22.048	0.059	0.001
22.04825	0.042	-0.000
22.0485	0.023	0.000
22.04875	0.005	0.000
22.049	-0.011	0.000
22.04925	-0.028	0.000
22.0495	-0.045	0.001
22.04975	-0.059	0.000
22.05	-0.069	0.000
22.05025	-0.076	0.000
22.0505	-0.084	0.001
22.05075	-0.092	0.000
22.051	-0.098	0.000
22.05125	-0.105	0.000
22.0515	-0.109	0.000
22.05175	-0.112	0.001
22.052	-0.112	0.000
22.05225	-0.113	0.000
22.0525	-0.116	0.000
22.05275	-0.117	0.000
22.053	-0.114	0.000
22.05325	-0.114	0.000
22.0535	-0.132	0.001
22.05375	-0.198	-0.000
22.054	-0.310	0.001
22.05425	-0.439	0.000
22.0545	-0.577	0.000
22.05475	-0.752	0.001
22.055	-0.933	-0.001
22.05525	-1.062	0.000
22.0555	-1.104	0.000
22.05575	-1.072	0.000
22.056	-1.002	0.000
22.05625	-0.912	0.001
22.0565	-0.812	0.001
22.05675	-0.703	0.001
22.057	-0.583	0.000
22.05725	-0.456	-0.000
22.0575	-0.335	0.000
22.05775	-0.252	0.000
22.058	-0.221	0.000
22.05825	-0.218	0.000
22.0585	-0.218	0.000
22.05875	-0.211	0.000
22.059	-0.197	0.000
22.05925	-0.168	0.000
22.0595	-0.124	0.000
22.05975	-0.066	0.001
22.06	-0.002	-0.000
22.06025	0.056	0.000
22.0605	0.104	0.001
22.06075	0.142	-0.000
22.061	0.165	0.000
22.06125	0.174	0.001
22.0615	0.173	0.000
22.06175	0.155	-0.000
22.062	0.096	0.000
22.06225	-0.018	0.001
22.0625	-0.165	0.001
22.06275	-0.303	0.000
22.063	-0.402	0.000
22.06325	-0.453	0.001
22.0635	-0.455	0.001
22.06375	-0.413	0.000
22.064	-0.334	0.000
22.06425	-0.247	0.001
22.0645	-0.172	0.000
22.06475	-0.118	0.000
22.065	-0.083	0.000
22.06525	-0.063	0.000
22.0655	-0.053	0.001
22.06575	-0.051	0.000
22.066	-0.055	0.000
22.06625	-0.069	0.000
22.0665	-0.092	0.000
22.06675	-0.116	0.001
22.067	-0.136	0.000
22.06725	-0.147	0.000
22.0675	-0.144	0.001
22.06775	-0.131	0.001
22.068	-0.117	0.000
22.06825	-0.103	0.000
22.0685	-0.089	0.001
22.06875	-0.076	0.000
22.069	-0.071	0.000
22.06925	-0.074	0.001
22.0695	-0.076	0.000
22.06975	-0.072	0.000
22.07	-0.058	0.001
22.07025	-0.036	0.000
22.0705	-0.012	0.001
22.07075	0.010	0.000
22.071	0.033	0.000
22.07125	0.057	0.000
22.0715	0.084	0.000
22.07175	0.111	0.001
22.072	0.135	0.000
22.07225	0.150	0.000
22.0725	0.158	0.000
22.07275	0.157	0.001
22.073	0.152	0.001
22.07325	0.146	0.000
22.0735	0.130	0.000
22.07375	0.052	0.000
22.074	-0.115	1.670
22.07425	-0.498	4.957
22.0745	-0.893	0.001
22.07475	-0.960	0.002
22.075	-0.917	0.000
22.07525	-0.811	0.001
22.0755	-0.675	0.001
22.07575	-0.525	0.000
22.076	-0.368	0.000
22.07625	-0.223	0.000
22.0765	-0.097	0.000
22.07675	0.002	0.000
22.077	0.072	0.000
22.07725	0.117	0.000
22.0775	0.144	0.001
22.07775	0.113	0.000
22.078	-0.107	0.000
22.07825	-0.493	0.000
22.0785	-0.916	0.000
22.07875	-1.297	0.001
22.079	-1.583	0.000
22.07925	-1.750	0.000
22.0795	-1.807	0.000
22.07975	-1.742	0.001
22.08	-1.552	0.000
22.08025	-1.326	0.000
22.0805	-1.156	0.001
22.08075	-1.050	0.001
